language,lag,grievance,p_value,significant
ca,5,GOV,0.7754,0
ca,5,DEM_REFORM,0.922,0
ca,5,GLOBAL,0.4472,0
ca,5,RELIGION,0.5905,0
ca,5,ELECTIONS,0.3055,0
ca,5,BASIC_NEEDS,0.454,0
ca,5,COUP,0.6433,0
ca,5,VIOLENCE,0.3619,0
ca,6,GOV,0.7489,0
ca,6,DEM_REFORM,0.9198,0
ca,6,GLOBAL,0.4915,0
ca,6,RELIGION,0.4457,0
ca,6,ELECTIONS,0.3345,0
ca,6,BASIC_NEEDS,0.165,0
ca,6,COUP,0.6929,0
ca,6,VIOLENCE,0.3593,0
ca,7,GOV,0.813,0
ca,7,DEM_REFORM,0.9466,0
ca,7,GLOBAL,0.4269,0
ca,7,RELIGION,0.5414,0
ca,7,ELECTIONS,0.4273,0
ca,7,BASIC_NEEDS,0.1842,0
ca,7,COUP,0.7612,0
ca,7,VIOLENCE,0.4766,0
ca,8,GOV,0.7869,0
ca,8,DEM_REFORM,0.9155,0
ca,8,GLOBAL,0.5529,0
ca,8,RELIGION,0.6861,0
ca,8,ELECTIONS,0.3036,0
ca,8,BASIC_NEEDS,0.1819,0
ca,8,COUP,0.4502,0
ca,8,VIOLENCE,0.4299,0
ca,9,GOV,0.7177,0
ca,9,DEM_REFORM,0.955,0
ca,9,GLOBAL,0.6597,0
ca,9,RELIGION,0.687,0
ca,9,ELECTIONS,0.224,0
ca,9,BASIC_NEEDS,0.1999,0
ca,9,COUP,0.3973,0
ca,9,VIOLENCE,0.5108,0
ca,14,GOV,0.7212,0
ca,14,DEM_REFORM,0.8985,0
ca,14,GLOBAL,0.6789,0
ca,14,RELIGION,0.2359,0
ca,14,ELECTIONS,0.446,0
ca,14,BASIC_NEEDS,0.0637,0
ca,14,COUP,0.5644,0
ca,14,VIOLENCE,0.2625,0
ca,15,GOV,0.7817,0
ca,15,DEM_REFORM,0.8821,0
ca,15,GLOBAL,0.7172,0
ca,15,RELIGION,0.274,0
ca,15,ELECTIONS,0.3672,0
ca,15,BASIC_NEEDS,0.0856,0
ca,15,COUP,0.6794,0
ca,15,VIOLENCE,0.2332,0
ca,16,GOV,0.8473,0
ca,16,DEM_REFORM,0.9244,0
ca,16,GLOBAL,0.7668,0
ca,16,RELIGION,0.3353,0
ca,16,ELECTIONS,0.2856,0
ca,16,BASIC_NEEDS,0.1325,0
ca,16,COUP,0.7969,0
ca,16,VIOLENCE,0.2881,0
