language,lag,grievance,p_value,significant
ko,5,GOV,0.0011,1
ko,5,DEM_REFORM,0.0587,0
ko,5,GLOBAL,0.007,1
ko,5,RELIGION,0.0055,1
ko,5,ELECTIONS,0.7817,0
ko,5,BASIC_NEEDS,0.1158,0
ko,5,COUP,0.0189,1
ko,5,VIOLENCE,0.0203,1
ko,6,GOV,0.004,1
ko,6,DEM_REFORM,0.0268,1
ko,6,GLOBAL,0.0259,1
ko,6,RELIGION,0.0106,1
ko,6,ELECTIONS,0.8786,0
ko,6,BASIC_NEEDS,0.1981,0
ko,6,COUP,0.0749,0
ko,6,VIOLENCE,0.055,0
ko,7,GOV,0.0054,1
ko,7,DEM_REFORM,0.0051,1
ko,7,GLOBAL,0.0457,1
ko,7,RELIGION,0.0064,1
ko,7,ELECTIONS,0.8549,0
ko,7,BASIC_NEEDS,0.2835,0
ko,7,COUP,0.1348,0
ko,7,VIOLENCE,0.1322,0
ko,8,GOV,0.0057,1
ko,8,DEM_REFORM,0.0022,1
ko,8,GLOBAL,0.0283,1
ko,8,RELIGION,0.0176,1
ko,8,ELECTIONS,0.5461,0
ko,8,BASIC_NEEDS,0.224,0
ko,8,COUP,0.21,0
ko,8,VIOLENCE,0.1,0
ko,9,GOV,0.007,1
ko,9,DEM_REFORM,0.0012,1
ko,9,GLOBAL,0.0369,1
ko,9,RELIGION,0.0351,1
ko,9,ELECTIONS,0.5926,0
ko,9,BASIC_NEEDS,0.1834,0
ko,9,COUP,0.2145,0
ko,9,VIOLENCE,0.1566,0
ko,14,GOV,0.0082,1
ko,14,DEM_REFORM,0.033,1
ko,14,GLOBAL,0.045,1
ko,14,RELIGION,0.0021,1
ko,14,ELECTIONS,0.9188,0
ko,14,BASIC_NEEDS,0.2147,0
ko,14,COUP,0.4483,0
ko,14,VIOLENCE,0.5802,0
ko,15,GOV,0.0082,1
ko,15,DEM_REFORM,0.0306,1
ko,15,GLOBAL,0.06,0
ko,15,RELIGION,0.0043,1
ko,15,ELECTIONS,0.9185,0
ko,15,BASIC_NEEDS,0.2794,0
ko,15,COUP,0.4043,0
ko,15,VIOLENCE,0.6805,0
ko,16,GOV,0.0124,1
ko,16,DEM_REFORM,0.035,1
ko,16,GLOBAL,0.1189,0
ko,16,RELIGION,0.0112,1
ko,16,ELECTIONS,0.9237,0
ko,16,BASIC_NEEDS,0.3005,0
ko,16,COUP,0.2392,0
ko,16,VIOLENCE,0.7857,0
