language,lag,grievance,p_value,significant
pl,5,GOV,0.0128,1
pl,5,DEM_REFORM,0.8683,0
pl,5,GLOBAL,0.283,0
pl,5,RELIGION,0.9476,0
pl,5,ELECTIONS,0.1699,0
pl,5,BASIC_NEEDS,0.0993,0
pl,5,COUP,0.1548,0
pl,5,VIOLENCE,0.8572,0
pl,6,GOV,0.0122,1
pl,6,DEM_REFORM,0.8634,0
pl,6,GLOBAL,0.4578,0
pl,6,RELIGION,0.929,0
pl,6,ELECTIONS,0.367,0
pl,6,BASIC_NEEDS,0.1632,0
pl,6,COUP,0.3494,0
pl,6,VIOLENCE,0.8366,0
pl,7,GOV,0.0028,1
pl,7,DEM_REFORM,0.0853,0
pl,7,GLOBAL,0.3284,0
pl,7,RELIGION,0.9045,0
pl,7,ELECTIONS,0.4402,0
pl,7,BASIC_NEEDS,0.1644,0
pl,7,COUP,0.4413,0
pl,7,VIOLENCE,0.8777,0
pl,8,GOV,0.0056,1
pl,8,DEM_REFORM,0.098,0
pl,8,GLOBAL,0.4083,0
pl,8,RELIGION,0.8357,0
pl,8,ELECTIONS,0.5459,0
pl,8,BASIC_NEEDS,0.19,0
pl,8,COUP,0.6906,0
pl,8,VIOLENCE,0.855,0
pl,9,GOV,0.0094,1
pl,9,DEM_REFORM,0.0672,0
pl,9,GLOBAL,0.4626,0
pl,9,RELIGION,0.8141,0
pl,9,ELECTIONS,0.6317,0
pl,9,BASIC_NEEDS,0.2812,0
pl,9,COUP,0.4826,0
pl,9,VIOLENCE,0.8824,0
pl,14,GOV,0.016,1
pl,14,DEM_REFORM,0.1343,0
pl,14,GLOBAL,0.7261,0
pl,14,RELIGION,0.9399,0
pl,14,ELECTIONS,0.8562,0
pl,14,BASIC_NEEDS,0.5016,0
pl,14,COUP,0.7007,0
pl,14,VIOLENCE,0.9437,0
pl,15,GOV,0.0222,1
pl,15,DEM_REFORM,0.1633,0
pl,15,GLOBAL,0.7826,0
pl,15,RELIGION,0.949,0
pl,15,ELECTIONS,0.8786,0
pl,15,BASIC_NEEDS,0.3494,0
pl,15,COUP,0.7265,0
pl,15,VIOLENCE,0.9697,0
pl,16,GOV,0.0356,1
pl,16,DEM_REFORM,0.1911,0
pl,16,GLOBAL,0.7817,0
pl,16,RELIGION,0.9203,0
pl,16,ELECTIONS,0.7784,0
pl,16,BASIC_NEEDS,0.453,0
pl,16,COUP,0.6781,0
pl,16,VIOLENCE,0.9583,0
