language,lag,grievance,p_value,significant
vi,5,GOV,0.9533,0
vi,5,DEM_REFORM,0.7128,0
vi,5,GLOBAL,0.2633,0
vi,5,RELIGION,0.0119,1
vi,5,ELECTIONS,0.0008,1
vi,5,BASIC_NEEDS,0.2991,0
vi,5,COUP,0.4875,0
vi,5,VIOLENCE,0.1399,0
vi,6,GOV,0.9692,0
vi,6,DEM_REFORM,0.7301,0
vi,6,GLOBAL,0.4966,0
vi,6,RELIGION,0.0083,1
vi,6,ELECTIONS,0.0012,1
vi,6,BASIC_NEEDS,0.353,0
vi,6,COUP,0.6709,0
vi,6,VIOLENCE,0.2821,0
vi,7,GOV,0.9907,0
vi,7,DEM_REFORM,0.8482,0
vi,7,GLOBAL,0.2451,0
vi,7,RELIGION,0.0171,1
vi,7,ELECTIONS,0.0054,1
vi,7,BASIC_NEEDS,0.2962,0
vi,7,COUP,0.8123,0
vi,7,VIOLENCE,0.3121,0
vi,8,GOV,0.9156,0
vi,8,DEM_REFORM,0.9394,0
vi,8,GLOBAL,0.3205,0
vi,8,RELIGION,0.0387,1
vi,8,ELECTIONS,0.0001,1
vi,8,BASIC_NEEDS,0.4043,0
vi,8,COUP,0.8625,0
vi,8,VIOLENCE,0.3044,0
vi,9,GOV,0.8163,0
vi,9,DEM_REFORM,0.9655,0
vi,9,GLOBAL,0.4678,0
vi,9,RELIGION,0.0353,1
vi,9,ELECTIONS,0.0003,1
vi,9,BASIC_NEEDS,0.6218,0
vi,9,COUP,0.9135,0
vi,9,VIOLENCE,0.4844,0
vi,14,GOV,0.6768,0
vi,14,DEM_REFORM,0.9544,0
vi,14,GLOBAL,0.2908,0
vi,14,RELIGION,0.1066,0
vi,14,ELECTIONS,0.0,1
vi,14,BASIC_NEEDS,0.78,0
vi,14,COUP,0.9522,0
vi,14,VIOLENCE,0.5908,0
vi,15,GOV,0.673,0
vi,15,DEM_REFORM,0.9731,0
vi,15,GLOBAL,0.1284,0
vi,15,RELIGION,0.0786,0
vi,15,ELECTIONS,0.0,1
vi,15,BASIC_NEEDS,0.8361,0
vi,15,COUP,0.8461,0
vi,15,VIOLENCE,0.3072,0
vi,16,GOV,0.7389,0
vi,16,DEM_REFORM,0.9742,0
vi,16,GLOBAL,0.1196,0
vi,16,RELIGION,0.0831,0
vi,16,ELECTIONS,0.0,1
vi,16,BASIC_NEEDS,0.6541,0
vi,16,COUP,0.8934,0
vi,16,VIOLENCE,0.2473,0
