language,lag,grievance,p_value,significant
zh,5,GOV,0.5867,0
zh,5,DEM_REFORM,0.1,0
zh,5,GLOBAL,0.9026,0
zh,5,RELIGION,0.6624,0
zh,5,ELECTIONS,0.103,0
zh,5,BASIC_NEEDS,0.0363,1
zh,5,COUP,0.7154,0
zh,5,VIOLENCE,0.8387,0
zh,6,GOV,0.3641,0
zh,6,DEM_REFORM,0.1044,0
zh,6,GLOBAL,0.9466,0
zh,6,RELIGION,0.5412,0
zh,6,ELECTIONS,0.0726,0
zh,6,BASIC_NEEDS,0.0631,0
zh,6,COUP,0.7936,0
zh,6,VIOLENCE,0.8957,0
zh,7,GOV,0.494,0
zh,7,DEM_REFORM,0.1263,0
zh,7,GLOBAL,0.9777,0
zh,7,RELIGION,0.1448,0
zh,7,ELECTIONS,0.0686,0
zh,7,BASIC_NEEDS,0.0979,0
zh,7,COUP,0.8204,0
zh,7,VIOLENCE,0.9553,0
zh,8,GOV,0.4809,0
zh,8,DEM_REFORM,0.0924,0
zh,8,GLOBAL,0.9882,0
zh,8,RELIGION,0.2162,0
zh,8,ELECTIONS,0.0573,0
zh,8,BASIC_NEEDS,0.2008,0
zh,8,COUP,0.7226,0
zh,8,VIOLENCE,0.9695,0
zh,9,GOV,0.5864,0
zh,9,DEM_REFORM,0.1343,0
zh,9,GLOBAL,0.9938,0
zh,9,RELIGION,0.3075,0
zh,9,ELECTIONS,0.0629,0
zh,9,BASIC_NEEDS,0.2125,0
zh,9,COUP,0.7411,0
zh,9,VIOLENCE,0.9813,0
zh,14,GOV,0.6808,0
zh,14,DEM_REFORM,0.4123,0
zh,14,GLOBAL,0.9994,0
zh,14,RELIGION,0.8297,0
zh,14,ELECTIONS,0.0606,0
zh,14,BASIC_NEEDS,0.442,0
zh,14,COUP,0.3131,0
zh,14,VIOLENCE,0.9675,0
zh,15,GOV,0.7107,0
zh,15,DEM_REFORM,0.5015,0
zh,15,GLOBAL,0.9997,0
zh,15,RELIGION,0.8701,0
zh,15,ELECTIONS,0.0769,0
zh,15,BASIC_NEEDS,0.5297,0
zh,15,COUP,0.3983,0
zh,15,VIOLENCE,0.9781,0
zh,16,GOV,0.7313,0
zh,16,DEM_REFORM,0.6085,0
zh,16,GLOBAL,0.9999,0
zh,16,RELIGION,0.8376,0
zh,16,ELECTIONS,0.0146,1
zh,16,BASIC_NEEDS,0.6041,0
zh,16,COUP,0.1474,0
zh,16,VIOLENCE,0.9845,0
