grievance,lag,protest,correlation,p_value,significant
narrative_gov,-9,2023-11-12,0.0,1.0,0
narrative_gov,-8,2023-11-12,0.0,1.0,0
narrative_gov,-7,2023-11-12,0.0,1.0,0
narrative_gov,-6,2023-11-12,0.0,1.0,0
narrative_gov,-5,2023-11-12,0.0,1.0,0
narrative_gov,-4,2023-11-12,0.0,1.0,0
narrative_gov,-3,2023-11-12,0.0,1.0,0
narrative_gov,-2,2023-11-12,0.0,1.0,0
narrative_gov,-1,2023-11-12,0.0,1.0,0
narrative_gov,0,2023-11-12,0.0,1.0,0
narrative_gov,1,2023-11-12,0.0,1.0,0
narrative_gov,2,2023-11-12,0.0,1.0,0
narrative_gov,3,2023-11-12,0.0,1.0,0
narrative_gov,4,2023-11-12,0.0,1.0,0
narrative_gov,5,2023-11-12,0.0,1.0,0
narrative_gov,6,2023-11-12,0.0,1.0,0
narrative_gov,7,2023-11-12,0.0,1.0,0
narrative_gov,8,2023-11-12,0.0,1.0,0
narrative_gov,9,2023-11-12,0.0,1.0,0
narrative_gov,10,2023-11-12,0.0,1.0,0
narrative_gov,11,2023-11-12,0.0,1.0,0
narrative_gov,12,2023-11-12,0.0,1.0,0
narrative_gov,13,2023-11-12,0.0,1.0,0
narrative_gov,14,2023-11-12,0.0,1.0,0
narrative_gov,15,2023-11-12,0.0,1.0,0
narrative_gov,16,2023-11-12,0.0,1.0,0
narrative_dem_reform,-9,2023-11-12,0.0,1.0,0
narrative_dem_reform,-8,2023-11-12,0.0,1.0,0
narrative_dem_reform,-7,2023-11-12,0.0,1.0,0
narrative_dem_reform,-6,2023-11-12,0.0,1.0,0
narrative_dem_reform,-5,2023-11-12,0.0,1.0,0
narrative_dem_reform,-4,2023-11-12,0.0,1.0,0
narrative_dem_reform,-3,2023-11-12,0.0,1.0,0
narrative_dem_reform,-2,2023-11-12,0.0,1.0,0
narrative_dem_reform,-1,2023-11-12,0.0,1.0,0
narrative_dem_reform,0,2023-11-12,0.0,1.0,0
narrative_dem_reform,1,2023-11-12,0.0,1.0,0
narrative_dem_reform,2,2023-11-12,0.0,1.0,0
narrative_dem_reform,3,2023-11-12,0.0,1.0,0
narrative_dem_reform,4,2023-11-12,0.0,1.0,0
narrative_dem_reform,5,2023-11-12,0.0,1.0,0
narrative_dem_reform,6,2023-11-12,0.0,1.0,0
narrative_dem_reform,7,2023-11-12,0.0,1.0,0
narrative_dem_reform,8,2023-11-12,0.0,1.0,0
narrative_dem_reform,9,2023-11-12,0.0,1.0,0
narrative_dem_reform,10,2023-11-12,0.0,1.0,0
narrative_dem_reform,11,2023-11-12,0.0,1.0,0
narrative_dem_reform,12,2023-11-12,0.0,1.0,0
narrative_dem_reform,13,2023-11-12,0.0,1.0,0
narrative_dem_reform,14,2023-11-12,0.0,1.0,0
narrative_dem_reform,15,2023-11-12,0.0,1.0,0
narrative_dem_reform,16,2023-11-12,0.0,1.0,0
narrative_global,-9,2023-11-12,0.0,1.0,0
narrative_global,-8,2023-11-12,0.0,1.0,0
narrative_global,-7,2023-11-12,0.0,1.0,0
narrative_global,-6,2023-11-12,0.0,1.0,0
narrative_global,-5,2023-11-12,0.0,1.0,0
narrative_global,-4,2023-11-12,0.0,1.0,0
narrative_global,-3,2023-11-12,0.0,1.0,0
narrative_global,-2,2023-11-12,0.0,1.0,0
narrative_global,-1,2023-11-12,0.0,1.0,0
narrative_global,0,2023-11-12,0.0,1.0,0
narrative_global,1,2023-11-12,0.0,1.0,0
narrative_global,2,2023-11-12,0.0,1.0,0
narrative_global,3,2023-11-12,0.0,1.0,0
narrative_global,4,2023-11-12,0.0,1.0,0
narrative_global,5,2023-11-12,0.0,1.0,0
narrative_global,6,2023-11-12,0.0,1.0,0
narrative_global,7,2023-11-12,0.0,1.0,0
narrative_global,8,2023-11-12,0.0,1.0,0
