,Topic,Words,Frequency,Timestamp
0,1,"হরত, কর, ষয, বল, রপত",1,2013-03-15 07:13:06.941
1,1,"হয, ইর, শন, কর, অঙ",2,2015-10-29 19:29:06.900
2,1,"কর, রত, অন, আম, বল",20,2017-02-15 07:44:09.850
3,1,"কর, রত, আম, বল, সম",19,2018-06-04 19:59:12.800
4,-1,"news, from, get, latest, chandannagar",2,2019-09-22 08:14:15.750
5,0,"news, from, bengali, get, latest",97,2019-09-22 08:14:15.750
6,1,"কর, রত, অন, বল, সম",200,2019-09-22 08:14:15.750
7,2,"samay, ei, til, network, bengali",53,2019-09-22 08:14:15.750
8,3,"news, from, latest, business, bangla",20,2019-09-22 08:14:15.750
9,4,"gold, news, latest, in, business",9,2019-09-22 08:14:15.750
10,5,"news, india, from, bengali, get",7,2019-09-22 08:14:15.750
11,-1,"news, from, games, ipl, cricket",5,2021-01-08 20:29:18.700
12,0,"news, from, bengali, ei, til",328,2021-01-08 20:29:18.700
13,1,"কর, রত, অন, তর, সম",77,2021-01-08 20:29:18.700
14,2,"price, samay, til, ei, network",146,2021-01-08 20:29:18.700
15,3,"news, diesel, from, petrol, ei",46,2021-01-08 20:29:18.700
16,4,"gold, news, in, today, from",26,2021-01-08 20:29:18.700
17,5,"news, from, bengali, vaccine, samay",24,2021-01-08 20:29:18.700
18,2,"as, is, far, concerned, performance",1,2026-03-21 21:29:30.500
19,2,"note, redmi, 5g, and, specifications",1,2031-06-01 22:29:42.300
20,0,"attacking, walk, game, morning, dilip",1,2036-08-11 23:29:54.100
21,0,"55, sym, earn, rupees, invest",1,2037-11-29 11:44:57.050
22,1,"লস, লড়, জস, টসম, থক",1,2037-11-29 11:44:57.050
