,Topic,Words,Frequency,Timestamp
0,2,"monarca, vi, felip, congressos, diagonal",1,2001-05-06 12:24:28.800
1,34,"experts, budó, tones, rebut, científics",1,2001-05-06 12:24:28.800
2,0,"illa, hagin, ministre, podran, tests",1,2005-01-27 07:12:00.000
3,14,"correu, vot, goicoechea, licituds, correus",1,2005-01-27 07:12:00.000
4,49,"budó, missiva, projectils, goma, investigació",1,2005-01-27 07:12:00.000
5,-1,"residències, castella, 41, situació, comunitats",3,2006-12-02 10:48:00.000
6,0,"medicaments, fàrmacs, medicinals, automedicació, salut",1,2006-12-02 10:48:00.000
7,-1,"thomàs, salut, facultatius, consum, retallada",1,2008-10-06 14:24:00.000
8,12,"institut, garcías, educació, llorenç, artà",1,2008-10-06 14:24:00.000
9,18,"ocupació, balear, reactivació, prestació, contractació",1,2008-10-06 14:24:00.000
10,-1,"titular, chacon, presidents, empresaris, salat",1,2010-08-11 18:00:00.000
11,5,"actualitat, entrevistem, brúixola, analitzem, tertúlia",1,2010-08-11 18:00:00.000
12,17,"monsengwo, card, egidio, share, pasinya",1,2010-08-11 18:00:00.000
13,-1,"pasqual, republicana, esquerra, volgut, agraïm",1,2012-06-15 21:36:00.000
14,7,"vaga, sagunt, pilkington, empresa, planta",1,2012-06-15 21:36:00.000
15,12,"escolar, comissions, alumnes, ràtios, obreres",1,2012-06-15 21:36:00.000
16,-1,"adif, places, procés, estupidesa, exemple",4,2014-04-21 01:12:00.000
17,22,"allotjaments, establiments, turístics, similars, estada",1,2014-04-21 01:12:00.000
18,47,"felanitx, fou, masclista, violència, isabel",1,2014-04-21 01:12:00.000
19,-1,"govern, catalunya, se, cap, president",805,2016-02-24 04:48:00.000
20,0,"hospital, msf, salut, pacients, coronavirus",17,2016-02-24 04:48:00.000
21,1,"tribunal, judici, justícia, fiscalia, govern",94,2016-02-24 04:48:00.000
22,2,"manifestació, manifestants, protesta, persones, anc",115,2016-02-24 04:48:00.000
23,3,"violència, dones, gènere, masclista, víctimes",43,2016-02-24 04:48:00.000
24,4,"sánchez, psoe, rivera, díaz, partit",33,2016-02-24 04:48:00.000
25,5,"eleccions, referèndum, electoral, votar, catalunya",51,2016-02-24 04:48:00.000
26,6,"projecte, metres, ebre, veïns, tram",27,2016-02-24 04:48:00.000
27,7,"vaga, treballadors, empresa, sindicats, comitè",37,2016-02-24 04:48:00.000
28,8,"preus, inflació, economia, creixement, dècimes",28,2016-02-24 04:48:00.000
29,9,"erc, psc, partit, govern, socialistes",23,2016-02-24 04:48:00.000
30,10,"milions, euros, finançament, entitats, icf",13,2016-02-24 04:48:00.000
31,11,"alcalde, govern, regidors, regidor, psc",21,2016-02-24 04:48:00.000
32,12,"educació, curs, alumnes, escola, jover",19,2016-02-24 04:48:00.000
33,13,"agents, policia, home, guàrdia, detingut",19,2016-02-24 04:48:00.000
34,14,"escons, vot, vots, eleccions, comicis",18,2016-02-24 04:48:00.000
35,15,"equip, club, selecció, torneig, seleccions",19,2016-02-24 04:48:00.000
36,16,"música, festival, concert, musical, orgue",10,2016-02-24 04:48:00.000
37,17,"església, papa, luter, francesc, bisbe",21,2016-02-24 04:48:00.000
38,18,"treballadors, efa, llei, sindicats, estibadors",9,2016-02-24 04:48:00.000
39,19,"degustació, venda, horaris, productes, llei",3,2016-02-24 04:48:00.000
40,20,"pressupostos, pressupost, cup, govern, comptes",21,2016-02-24 04:48:00.000
41,21,"trump, nord, estats, eua, nuclear",15,2016-02-24 04:48:00.000
42,22,"turisme, apartaments, turistes, turístic, turístics",12,2016-02-24 04:48:00.000
