,Topic,Words,Frequency,Timestamp
0,-1,"жана, менен, да, бул, бир",7,2017-01-02 22:04:43.486
1,-1,"жана, менен, бир, деп, мен",1,2017-06-03 19:41:17.400
2,-1,"жана, менен, бир, бул, да",3,2017-08-18 00:26:43.100
3,-1,"менен, да, жана, бир, жок",2,2017-11-01 05:12:08.800
4,-1,"эне, тил, жана, аралык, күнү",1,2018-01-15 09:57:34.500
5,-1,"биринчи, баласын, төрөгөн, түздү, жаш",1,2018-03-31 14:43:00.200
6,-1,"best, кыргызстандык, боюнча, жеңишке, спорттун",1,2018-06-14 19:28:25.900
7,-1,"менен, алмаз, жана, жылы, болуп",1,2018-08-29 00:13:51.600
8,-1,"жана, менен, бул, эле, бир",3,2019-01-26 09:44:43.000
9,-1,"жана, менен, бул, reuters, боюнча",3,2019-06-25 19:15:34.400
10,-1,"менен, жана, өзөктүк, бул, бир",1,2019-09-09 00:01:00.100
11,-1,"жана, жергиликтүү, бул, менен, үчүн",1,2019-11-23 04:46:25.800
12,-1,"жана, менен, аялдар, өмүрбекова, алтынай",1,2020-02-06 09:31:51.500
13,-1,"жана, бул, эле, менен, да",2,2020-04-21 14:17:17.200
14,-1,"менен, жана, бул, пайызы, эле",4,2020-07-05 19:02:42.900
15,-1,"менен, болуп, жана, да, мен",2,2020-09-18 23:48:08.600
16,-1,"жана, менен, бул, үчүн, эле",6,2020-12-03 04:33:34.300
