,Topic,Words,Frequency,Timestamp
0,-1,"zwierząt, futra, uboju, poprawek, rytualnego",1,2009-10-14 12:28:03.480
1,-1,"na, nie, się, do, że",13,2016-07-18 06:48:06.000
2,0,"nie, że, na, do, się",7,2016-07-18 06:48:06.000
3,1,"na, do, się, to, zł",9,2016-07-18 06:48:06.000
4,2,"seibert, awdijiwce, obwe, ukraińskich, berlina",1,2016-07-18 06:48:06.000
5,3,"kalczyńska, kompromis, wylewa, narastająca, puszkę",2,2016-07-18 06:48:06.000
6,4,"się, azyl, do, ue, na",2,2016-07-18 06:48:06.000
7,5,"rwd, na, mobilnych, wiwi, urządzeń",3,2016-07-18 06:48:06.000
8,7,"donbasie, ukrainy, ayrault, doniecka, obwe",2,2016-07-18 06:48:06.000
9,12,"tvp, mediów, na, nie, do",2,2016-07-18 06:48:06.000
10,15,"cross, klasie, wygrał, lublin, podium",1,2016-07-18 06:48:06.000
11,-1,"do, na, się, że, nie",21,2017-02-27 07:25:12.000
12,0,"że, nie, to, na, jest",17,2017-02-27 07:25:12.000
13,1,"na, proc, do, że, to",10,2017-02-27 07:25:12.000
14,2,"się, jest, do, to, że",2,2017-02-27 07:25:12.000
15,3,"kobiet, się, na, nie, do",7,2017-02-27 07:25:12.000
16,4,"ue, nie, na, do, że",6,2017-02-27 07:25:12.000
17,5,"na, do, kartę, blessu, się",5,2017-02-27 07:25:12.000
18,6,"się, nie, na, to, do",2,2017-02-27 07:25:12.000
19,7,"rosji, na, się, jest, ukrainy",5,2017-02-27 07:25:12.000
20,9,"linii, urlopów, ryanair, lotów, mojej",1,2017-02-27 07:25:12.000
21,12,"płatnej, telewizji, usług, dostawcy, odbiornika",2,2017-02-27 07:25:12.000
22,13,"edukacji, programowej, broniarz, szkół, szkoła",1,2017-02-27 07:25:12.000
23,14,"się, delhi, kobiety, nie, na",2,2017-02-27 07:25:12.000
24,15,"federer, wygrał, zwycięstwo, był, najlepszy",1,2017-02-27 07:25:12.000
25,-1,"na, się, nie, do, że",40,2017-10-09 08:02:18.000
26,0,"że, się, na, nie, to",28,2017-10-09 08:02:18.000
27,1,"na, do, zł, proc, że",13,2017-10-09 08:02:18.000
28,2,"brakować, zaczęło, powietrza, 22, programu",1,2017-10-09 08:02:18.000
29,3,"się, nie, na, że, do",12,2017-10-09 08:02:18.000
30,4,"czy, zasięgał, muzeum, opinii, kultury",2,2017-10-09 08:02:18.000
31,5,"spectre, na, do, nie, procesorów",5,2017-10-09 08:02:18.000
32,6,"rydzyk, podatku, na, podatkowy, bezdomnego",1,2017-10-09 08:02:18.000
33,7,"kaspersky, szarek, ipn, lab, na",5,2017-10-09 08:02:18.000
34,8,"napastnicy, kościoła, wielkanoc, kairze, do",2,2017-10-09 08:02:18.000
35,9,"lot, strajku, lotów, że, na",5,2017-10-09 08:02:18.000
