,Topic,Words,Frequency,Timestamp
0,53,"mv, lượt, mắt, tuyến, xem",1,1902-11-25 13:02:15
1,-1,"người, những, phim, do, của",12,2004-02-25 06:07:30
2,3,"giấy, tái, túy, ma, xuất",2,2004-02-25 06:07:30
3,12,"bay, khách, sân, chuyến, tapao",2,2004-02-25 06:07:30
4,14,"matrix, đốc, công, ban, an",1,2004-02-25 06:07:30
5,36,"sởi, bệnh, vắcxin, tiêm, vong",1,2004-02-25 06:07:30
6,37,"vùng, đồ, hcm, tp, án",1,2004-02-25 06:07:30
7,54,"phim, lhp, hartnet, pusan, diễn",1,2004-02-25 06:07:30
8,60,"hđnd, thí, phường, sao, pháp",1,2004-02-25 06:07:30
9,-1,"của, và, là, có, trong",77,2010-02-06 02:15:00
10,0,"trung, mỹ, quốc, biển, ndt",6,2010-02-06 02:15:00
11,1,"ng, triều, tiên, nh, hàn",2,2010-02-06 02:15:00
12,2,"cử, bầu, abhisit, phiếu, đảng",4,2010-02-06 02:15:00
13,3,"việt, nam, giá, tăng, khẩu",6,2010-02-06 02:15:00
14,4,"obama, cử, romney, ông, dò",2,2010-02-06 02:15:00
15,5,"tù, csatary, laszlo, di, an",7,2010-02-06 02:15:00
16,6,"crimea, ukraine, nga, lựu, cay",2,2010-02-06 02:15:00
17,7,"kong, hong, tình, biểu, viê",4,2010-02-06 02:15:00
18,9,"khách, du, ngon, món, sạn",4,2010-02-06 02:15:00
19,10,"thi, hậu, đẹp, hoa, miss",12,2010-02-06 02:15:00
20,11,"khuẩn, nhiễm, ndm, ca, ebola",2,2010-02-06 02:15:00
21,12,"bay, sân, zhengyun, khách, wang",4,2010-02-06 02:15:00
22,14,"ương, khóa, ủy, nguyễn, bộ",1,2010-02-06 02:15:00
23,15,"quang, thi, đăng, piano, sinh",3,2010-02-06 02:15:00
24,16,"mexico, nieto, venezuela, tổng, thống",1,2010-02-06 02:15:00
25,17,"pad, tình, biểu, người, wichai",1,2010-02-06 02:15:00
26,18,"trận, đội, đấu, phút, bóng",10,2010-02-06 02:15:00
27,20,"cư, luật, mỹ, nhập, viện",2,2010-02-06 02:15:00
28,21,"syria, annan, liên, nga, vũ",1,2010-02-06 02:15:00
29,22,"malmo, lựu, cảnh, thụy, hỏa",1,2010-02-06 02:15:00
30,23,"thăng, bay, rơi, trực, máy",4,2010-02-06 02:15:00
31,24,"trung, quốc, khí, vũ, cắp",2,2010-02-06 02:15:00
32,25,"thờ, pa, nhà, sa, đá",4,2010-02-06 02:15:00
33,30,"xe, jeep, chrysler, chiếc, lỗi",1,2010-02-06 02:15:00
34,31,"bạo, học, lực, sinh, lớp",7,2010-02-06 02:15:00
35,32,"apec, asean, nghị, shinzo, tịch",1,2010-02-06 02:15:00
36,34,"ng, tỷ, ngân, nợ, vay",2,2010-02-06 02:15:00
37,39,"xã, hội, nghèo, bảo, phúc",1,2010-02-06 02:15:00
38,40,"quý, 2010, nhật, tăng, gdp",2,2010-02-06 02:15:00
39,41,"israel, syria, golan, palestine, kênh",1,2010-02-06 02:15:00
40,43,"coulson, andy, the, anh, news",1,2010-02-06 02:15:00
41,44,"chồng, mẹ, em, tôi, ấy",6,2010-02-06 02:15:00
42,45,"lương, giá, tiền, định, tăng",2,2010-02-06 02:15:00
